key_resp.corr,key_resp.rt,,,,,1,0.5558152,,1,0.0280812,,,,0.5558152,0.0280812
1,0.5558152,,,,,1,0.4606213,,0,0.0908583,,,,0.4606213,0.7210952
1,0.4606213,,,,,1,0.51665,,1,0.7210952,,,,0.51665,1.3881087
1,0.51665,,,,,1,0.4674586,,1,1.3881087,,,,0.4674586,0.4591
1,0.4674586,,,,,1,0.5683578,,1,0.4591,,,,0.5683578,0.568987
1,0.5683578,,,,,1,0.4158379,,1,0.568987,,,,0.4158379,0.558777
1,0.4158379,,,,,1,0.4367406,,1,0.558777,,,,0.4367406,1.29766
1,0.4367406,,,,,1,0.4309207,,1,1.29766,,,,0.4309207,0.610012
1,0.4309207,,,,,1,0.5901971,,1,0.610012,,,,0.5901971,0.5643129
1,0.5901971,,,,,1,0.4999724,,1,0.5643129,,,,0.4999724,0.4149846
1,0.4999724,,,,,1,0.449149,,1,0.4149846,,,,0.449149,0.5385926
1,0.449149,,,,,1,0.5817287,,1,0.5385926,,,,0.5817287,0.3456776
1,0.5817287,,,,,1,0.405652,,1,0.3456776,,,,0.405652,0.585785
1,0.405652,,,,,1,0.4737535,,1,0.585785,,,,0.4737535,0.5038143
1,0.4737535,,,,,1,0.6042153,,1,0.5038143,,,,0.6042153,0.440054
1,0.6042153,,,,,1,0.5052684,,1,0.440054,,,,0.5052684,0.5058664
1,0.5052684,,,,,1,0.4793992,,1,0.5058664,,,,0.4793992,0.6952524
1,0.4793992,,,,,1,0.5060708,,0,0.3798884,,,,0.5060708,0.3460894
1,0.5060708,,,,,1,0.4329123,,1,0.6952524,,,,0.4329123,0.8901357
1,0.4329123,,,,,1,0.5849847,,1,0.3460894,,,,0.5849847,0.750801
1,0.5849847,,,,,1,0.3499945,,1,0.8901357,,,,0.3499945,0.9269264
1,0.3499945,,,,,1,1.2398363,,1,0.750801,,,,1.2398363,0.4236325
1,1.2398363,,,,,1,0.4109657,,1,0.9269264,,,,0.4109657,0.3446829
1,0.4109657,,,,,1,0.5561612,,1,0.4236325,,,,0.5561612,0.3574364
1,0.5561612,,,,,1,0.3547955,,1,0.3446829,,,,0.3547955,1.0772377
1,0.3547955,,,,,1,0.7302555,,1,0.3574364,,,,0.7302555,0.5588983
1,0.7302555,,,,,1,0.4565546,,1,1.0772377,,,,0.4565546,0.5075585
1,0.4565546,,,,,1,0.4594002,,1,0.5588983,,,,0.4594002,0.7202211
1,0.4594002,,,,,1,0.596423,,0,0.242975,,,,0.596423,0.5483712
1,0.596423,,,,,1,0.3939072,,1,0.5075585,,,,0.3939072,0.7615622
1,0.3939072,,,,,1,0.6340205,,1,0.7202211,,,,0.6340205,0.7222814
1,0.6340205,,,,,1,0.4881907,,1,0.5483712,,,,0.4881907,0.6224839
1,0.4881907,,,,,1,0.4910251,,0,1.0194811,,,,0.4910251,0.5582286
1,0.4910251,,,,,1,0.3751489,,1,0.7615622,,,,0.3751489,1.5668642
1,0.3751489,,,,,1,0.3910036,,1,0.7222814,,,,0.3910036,0.4451694
1,0.3910036,,,,,1,0.7797572,,1,0.6224839,,,,0.7797572,0.9021932
1,0.7797572,,,,,1,0.4162726,,1,0.5582286,,,,0.4162726,2.0614089
1,0.4162726,,,,,1,0.4927286,,1,1.5668642,,,,0.4927286,0.5493442
1,0.4927286,,,,,1,0.5922865,,1,0.4451694,,,,0.5922865,0.5381632
1,0.5922865,,,,,1,0.4598561,,1,0.9021932,,,,0.4598561,0.4861474
1,0.4598561,,,,,1,0.5009741,,1,2.0614089,,,,0.5009741,0.3709584
1,0.5009741,,,,,1,0.434012,,1,0.5493442,,,,0.434012,0.8391006
1,0.434012,,,,,1,0.5136101,,1,0.5381632,,,,0.5136101,0.8226912
1,0.5136101,,,,,1,0.5467752,,1,0.4861474,,,,0.5467752,2.2959855
1,0.5467752,,,,,1,0.3815516,,1,0.3709584,,,,0.3815516,0.497441
1,0.3815516,,,,,1,0.3757431,,1,0.8391006,,,,0.3757431,1.4092718
1,0.3757431,,,,,1,0.5757768,,1,0.8226912,,,,0.5757768,0.4326746
1,0.5757768,,,,,1,0.4973523,,1,2.2959855,,,,0.4973523,1.0023355
1,0.4973523,,,,,1,0.6008557,,1,0.497441,,,,0.6008557,0.6214324
1,0.6008557,,,,,1,0.369471,,1,1.4092718,,,,0.369471,1.0423833
1,0.369471,,,,,1,0.4599056,,1,0.4326746,,,,0.4599056,0.7801907
1,0.4599056,,,,,1,0.439809,,1,1.0023355,,,,0.439809,0.5801754
1,0.439809,,,,,1,0.3976892,,1,0.6214324,,,,0.3976892,1.0362461
1,0.3976892,,,,,1,0.4459445,,1,1.0423833,,,,0.4459445,0.6246804
1,0.4459445,,,,,1,0.3045218,,1,0.7801907,,,,0.3045218,0.9864585
1,0.3045218,,,,,1,0.5296603,,1,0.5801754,,,,0.5296603,0.7339997
1,0.5296603,,,,,1,0.3282613,,0,3.5857343,,,,0.3282613,0.3262917
1,0.3282613,,,,,1,0.4692894,,1,1.0362461,,,,0.4692894,0.4784028
1,0.4692894,,,,,1,0.3267291,,1,0.6246804,,,,0.3267291,0.4657251
1,0.3267291,,,,,1,0.2381522,,1,0.9864585,,,,0.2381522,0.352834
1,0.2381522,,,,,1,0.111661,,1,0.7339997,,,,0.111661,0.4732175
1,0.111661,,,,,1,0.2984063,,1,0.3262917,,,,0.2984063,0.4901193
1,0.2984063,,,,,1,0.1699766,,1,0.4784028,,,,0.1699766,0.552691
1,0.1699766,,,,,1,0.3035314,,1,0.4657251,,,,0.3035314,0.5727719
1,0.3035314,,,,,1,0.0721532,,1,0.352834,,,,0.0721532,0.4508764
1,0.0721532,,,,,1,1.0546436,,1,0.4732175,,,,1.0546436,0.7267513
1,1.0546436,,,,,1,0.2612826,,1,0.4901193,,,,0.2612826,0.9452795
1,0.2612826,,,,,0,0.3882927,,1,0.552691,,,,0.6344306,2.5353634
0,0.3882927,,,,,1,0.6344306,,1,0.5727719,,,,0.2912374,0.9359324
1,0.6344306,,,,,1,0.2912374,,1,0.4508764,,,,0.1252484,0.8132456
1,0.2912374,,,,,1,0.1252484,,1,0.7267513,,,,0.172731,1.0985032
1,0.1252484,,,,,1,0.172731,,1,0.9452795,,,,0.2249474,0.6538404
1,0.172731,,,,,1,0.2249474,,1,2.5353634,,,,0.4355372,0.527743
1,0.2249474,,,,,1,0.4355372,,1,0.9359324,,,,0.2831942,1.5262509
1,0.4355372,,,,,1,0.2831942,,1,0.8132456,,,,0.3430575,0.5836732
1,0.2831942,,,,,1,0.3430575,,1,1.0985032,,,,0.016873,0.7333583
1,0.3430575,,,,,1,0.016873,,1,0.6538404,,,,0.2628777,0.4163419
1,0.016873,,,,,1,0.2628777,,1,0.527743,,,,0.1303116,0.5922195
1,0.2628777,,,,,1,0.1303116,,1,1.5262509,,,,0.0785023,0.8946171
1,0.1303116,,,,,1,0.0785023,,1,0.5836732,,,,0.3393473,0.4165645
1,0.0785023,,,,,1,0.3393473,,1,0.7333583,,,,0.3359351,0.4889008
1,0.3393473,,,,,1,0.3359351,,1,0.4163419,,,,0.3479888,0.6725805
1,0.3359351,,,,,1,0.3479888,,1,0.5922195,,,,0.4098024,0.5606398
1,0.3479888,,,,,1,0.4098024,,1,0.8946171,,,,0.4615014,0.6920569
1,0.4098024,,,,,1,0.4615014,,1,0.4165645,,,,0.1570183,0.6470739
1,0.4615014,,,,,1,0.1570183,,1,0.4889008,,,,0.0571751,0.6146162
1,0.1570183,,,,,1,0.0571751,,1,0.6725805,,,,0.0784562,0.5176133
1,0.0571751,,,,,1,0.0784562,,1,0.5606398,,,,0.2170259,0.4724977
1,0.0784562,,,,,1,0.2170259,,1,0.6920569,,,,0.3527356,0.5681783
1,0.2170259,,,,,0,0.2444605,,1,0.6470739,,,,0.2183688,0.4413056
0,0.2444605,,,,,1,0.3527356,,1,0.6146162,,,,0.1342062,
1,0.3527356,,,,,1,0.2183688,,1,0.5176133,,,,0.0910303,
1,0.2183688,,,,,1,0.1342062,,1,0.4724977,,,,0.0849978,
1,0.1342062,,,,,1,0.0910303,,0,1.2333873,,,,0.1337967,
1,0.0910303,,,,,1,0.0849978,,1,0.5681783,,,,,
1,0.0849978,,,,,1,0.1337967,,1,0.4413056,,,,,
1,0.1337967,,,,,,,,,,,,,,
1,0.1010086,,,,,,,,,,,,,,
0,0.0344973,,,,,,,,,,,,,,
1,0.014242,,,,,,,,,,,,,,
1,0.4162872,,,,,,,,,,,,,,
1,0.0650672,,,,,,,,,,,,,,
1,0.408726,,,,,,,,,,,,,,
1,0.0773407,,,,,,,,,,,,,,
1,0.0837388,,,,,,,,,,,,,,
1,0.3733731,,,,,,,,,,,,,,
1,0.0204341,,,,,,,,,,,,,,
1,0.1823641,,,,,,,,,,,,,,
1,0.3620871,,,,,,,,,,,,,,
1,0.0312514,,,,,,,,,,,,,,
1,0.2115376,,,,,,,,,,,,,,
1,0.3357884,,,,,,,,,,,,,,
1,0.0530614,,,,,,,,,,,,,,
1,0.0213337,,,,,,,,,,,,,,
1,0.1730863,,,,,,,,,,,,,,
1,0.1978474,,,,,,,,,,,,,,
1,0.4965268,,,,,,,,,,,,,,
1,0.1931916,,,,,,,,,,,,,,
1,0.565854,,,,,,,,,,,,,,
1,0.0239068,,,,,,,,,,,,,,
1,0.0336474,,,,,,,,,,,,,,
1,0.2575502,,,,,,,,,,,,,,
1,0.9701916,,,,,,,,,,,,,,
1,0.2412168,,,,,,,,,,,,,,
1,0.3599878,,,,,,,,,,,,,,
1,0.0289611,,,,,,,,,,,,,,
1,0.3979484,,,,,,,,,,,,,,
1,0.2690891,,,,,,,,,,,,,,
1,0.4006092,,,,,,,,,,,,,,
1,0.3855609,,,,,,,,,,,,,,
1,0.2404197,,,,,,,,,,,,,,
1,0.1564192,,,,,,,,,,,,,,
1,0.2185714,,,,,,,,,,,,,,
1,0.1362732,,,,,,,,,,,,,,
1,0.2830645,,,,,,,,,,,,,,
1,0.1661271,,,,,,,,,,,,,,
1,0.0006638,,,,,,,,,,,,,,
1,0.1907124,,,,,,,,,,,,,,
1,0.2340791,,,,,,,,,,,,,,
1,0.2935978,,,,,,,,,,,,,,
1,0.0423624,,,,,,,,,,,,,,
1,0.3493297,,,,,,,,,,,,,,
1,0.6174812,,,,,,,,,,,,,,
1,0.095628,,,,,,,,,,,,,,
1,0.3436695,,,,,,,,,,,,,,
1,0.0523407,,,,,,,,,,,,,,
1,0.1029868,,,,,,,,,,,,,,
1,0.0852984,,,,,,,,,,,,,,
1,0.0492451,,,,,,,,,,,,,,
1,0.2569329,,,,,,,,,,,,,,
1,0.0989999,,,,,,,,,,,,,,
1,0.076312,,,,,,,,,,,,,,
1,0.2552369,,,,,,,,,,,,,,
1,0.0603048,,,,,,,,,,,,,,
1,0.046293,,,,,,,,,,,,,,
1,0.2313952,,,,,,,,,,,,,,
1,0.2267452,,,,,,,,,,,,,,
1,0.3518949,,,,,,,,,,,,,,
1,0.164548,,,,,,,,,,,,,,
1,0.163083,,,,,,,,,,,,,,
1,0.000791,,,,,,,,,,,,,,
1,0.1013613,,,,,,,,,,,,,,
0,0.0718487,,,,,,,,,,,,,,
1,0.3789443,,,,,,,,,,,,,,
1,0.3193471,,,,,,,,,,,,,,
1,0.403852,,,,,,,,,,,,,,
1,0.158169,,,,,,,,,,,,,,
1,0.107593,,,,,,,,,,,,,,
1,0.1080143,,,,,,,,,,,,,,
1,0.2471376,,,,,,,,,,,,,,
1,0.201165,,,,,,,,,,,,,,
1,0.1801126,,,,,,,,,,,,,,
1,0.319642,,,,,,,,,,,,,,
1,0.3335313,,,,,,,,,,,,,,
1,0.0498971,,,,,,,,,,,,,,
1,0.0107642,,,,,,,,,,,,,,
1,0.3100541,,,,,,,,,,,,,,
1,0.2755928,,,,,,,,,,,,,,
1,0.2201221,,,,,,,,,,,,,,
0,0.0876256,,,,,,,,,,,,,,
1,0.2871537,,,,,,,,,,,,,,
1,0.2807877,,,,,,,,,,,,,,
1,0.218795,,,,,,,,,,,,,,
1,0.1159522,,,,,,,,,,,,,,
1,0.0777131,,,,,,,,,,,,,,
1,0.0636858,,,,,,,,,,,,,,
1,0.1439907,,,,,,,,,,,,,,
1,0.042009,,,,,,,,,,,,,,
1,0.3510416,,,,,,,,,,,,,,
1,0.1150716,,,,,,,,,,,,,,
1,0.2779328,,,,,,,,,,,,,,
1,0.2253366,,,,,,,,,,,,,,
1,0.4284084,,,,,,,,,,,,,,
1,0.0280812,,,,,,,,,,,,,,
0,0.0908583,,,,,,,,,,,,,,
1,0.7210952,,,,,,,,,,,,,,
1,1.3881087,,,,,,,,,,,,,,
1,0.4591,,,,,,,,,,,,,,
1,0.568987,,,,,,,,,,,,,,
1,0.558777,,,,,,,,,,,,,,
1,1.29766,,,,,,,,,,,,,,
1,0.610012,,,,,,,,,,,,,,
1,0.5643129,,,,,,,,,,,,,,
1,0.4149846,,,,,,,,,,,,,,
1,0.5385926,,,,,,,,,,,,,,
1,0.3456776,,,,,,,,,,,,,,
1,0.585785,,,,,,,,,,,,,,
1,0.5038143,,,,,,,,,,,,,,
1,0.440054,,,,,,,,,,,,,,
1,0.5058664,,,,,,,,,,,,,,
0,0.3798884,,,,,,,,,,,,,,
1,0.6952524,,,,,,,,,,,,,,
1,0.3460894,,,,,,,,,,,,,,
1,0.8901357,,,,,,,,,,,,,,
1,0.750801,,,,,,,,,,,,,,
1,0.9269264,,,,,,,,,,,,,,
1,0.4236325,,,,,,,,,,,,,,
1,0.3446829,,,,,,,,,,,,,,
1,0.3574364,,,,,,,,,,,,,,
1,1.0772377,,,,,,,,,,,,,,
1,0.5588983,,,,,,,,,,,,,,
0,0.242975,,,,,,,,,,,,,,
1,0.5075585,,,,,,,,,,,,,,
1,0.7202211,,,,,,,,,,,,,,
1,0.5483712,,,,,,,,,,,,,,
0,1.0194811,,,,,,,,,,,,,,
1,0.7615622,,,,,,,,,,,,,,
1,0.7222814,,,,,,,,,,,,,,
1,0.6224839,,,,,,,,,,,,,,
1,0.5582286,,,,,,,,,,,,,,
1,1.5668642,,,,,,,,,,,,,,
1,0.4451694,,,,,,,,,,,,,,
1,0.9021932,,,,,,,,,,,,,,
1,2.0614089,,,,,,,,,,,,,,
1,0.5493442,,,,,,,,,,,,,,
1,0.5381632,,,,,,,,,,,,,,
1,0.4861474,,,,,,,,,,,,,,
1,0.3709584,,,,,,,,,,,,,,
1,0.8391006,,,,,,,,,,,,,,
1,0.8226912,,,,,,,,,,,,,,
1,2.2959855,,,,,,,,,,,,,,
1,0.497441,,,,,,,,,,,,,,
1,1.4092718,,,,,,,,,,,,,,
1,0.4326746,,,,,,,,,,,,,,
1,1.0023355,,,,,,,,,,,,,,
1,0.6214324,,,,,,,,,,,,,,
1,1.0423833,,,,,,,,,,,,,,
1,0.7801907,,,,,,,,,,,,,,
1,0.5801754,,,,,,,,,,,,,,
0,3.5857343,,,,,,,,,,,,,,
1,1.0362461,,,,,,,,,,,,,,
1,0.6246804,,,,,,,,,,,,,,
1,0.9864585,,,,,,,,,,,,,,
1,0.7339997,,,,,,,,,,,,,,
1,0.3262917,,,,,,,,,,,,,,
1,0.4784028,,,,,,,,,,,,,,
1,0.4657251,,,,,,,,,,,,,,
1,0.352834,,,,,,,,,,,,,,
1,0.4732175,,,,,,,,,,,,,,
1,0.4901193,,,,,,,,,,,,,,
1,0.552691,,,,,,,,,,,,,,
1,0.5727719,,,,,,,,,,,,,,
1,0.4508764,,,,,,,,,,,,,,
1,0.7267513,,,,,,,,,,,,,,
1,0.9452795,,,,,,,,,,,,,,
1,2.5353634,,,,,,,,,,,,,,
1,0.9359324,,,,,,,,,,,,,,
1,0.8132456,,,,,,,,,,,,,,
1,1.0985032,,,,,,,,,,,,,,
1,0.6538404,,,,,,,,,,,,,,
1,0.527743,,,,,,,,,,,,,,
1,1.5262509,,,,,,,,,,,,,,
1,0.5836732,,,,,,,,,,,,,,
1,0.7333583,,,,,,,,,,,,,,
1,0.4163419,,,,,,,,,,,,,,
1,0.5922195,,,,,,,,,,,,,,
1,0.8946171,,,,,,,,,,,,,,
1,0.4165645,,,,,,,,,,,,,,
1,0.4889008,,,,,,,,,,,,,,
1,0.6725805,,,,,,,,,,,,,,
1,0.5606398,,,,,,,,,,,,,,
1,0.6920569,,,,,,,,,,,,,,
1,0.6470739,,,,,,,,,,,,,,
1,0.6146162,,,,,,,,,,,,,,
1,0.5176133,,,,,,,,,,,,,,
1,0.4724977,,,,,,,,,,,,,,
0,1.2333873,,,,,,,,,,,,,,
1,0.5681783,,,,,,,,,,,,,,
1,0.4413056,,,,,,,,,,,,,,
0,0.93906,,,,,,,,,,,,,,
1,0.3405808,,,,,,,,,,,,,,
1,0.7785271,,,,,,,,,,,,,,
1,0.6811514,,,,,,,,,,,,,,
1,1.1354425,,,,,,,,,,,,,,
1,3.2599743,,,,,,,,,,,,,,
1,0.7165891,,,,,,,,,,,,,,
1,0.9226636,,,,,,,,,,,,,,
1,0.5271847,,,,,,,,,,,,,,
1,1.4066421,,,,,,,,,,,,,,
1,0.4586979,,,,,,,,,,,,,,
1,1.2320139,,,,,,,,,,,,,,
1,0.5011744,,,,,,,,,,,,,,
1,0.7826024,,,,,,,,,,,,,,
1,0.8233331,,,,,,,,,,,,,,
1,0.7005623,,,,,,,,,,,,,,
1,0.4341326,,,,,,,,,,,,,,
1,0.4843266,,,,,,,,,,,,,,
1,0.3223466,,,,,,,,,,,,,,
1,0.4842225,,,,,,,,,,,,,,
1,2.1976714,,,,,,,,,,,,,,
1,0.5733668,,,,,,,,,,,,,,
1,0.7448726,,,,,,,,,,,,,,
1,0.5743455,,,,,,,,,,,,,,
1,0.6278567,,,,,,,,,,,,,,
1,0.6089823,,,,,,,,,,,,,,
1,0.5348729,,,,,,,,,,,,,,
1,0.8246345,,,,,,,,,,,,,,
1,0.6324026,,,,,,,,,,,,,,
1,0.6050622,,,,,,,,,,,,,,
1,1.41899,,,,,,,,,,,,,,
1,0.6856947,,,,,,,,,,,,,,
1,2.2882653,,,,,,,,,,,,,,
1,1.842824,,,,,,,,,,,,,,
1,0.5251088,,,,,,,,,,,,,,
1,0.4847311,,,,,,,,,,,,,,
1,0.548421,,,,,,,,,,,,,,
1,0.4461822,,,,,,,,,,,,,,
1,0.7143058,,,,,,,,,,,,,,
1,1.1560179,,,,,,,,,,,,,,
1,0.4923181,,,,,,,,,,,,,,
1,0.6170048,,,,,,,,,,,,,,
1,0.7872883,,,,,,,,,,,,,,
1,0.5842167,,,,,,,,,,,,,,
1,0.5278684,,,,,,,,,,,,,,
1,0.7173197,,,,,,,,,,,,,,
1,0.4555933,,,,,,,,,,,,,,
1,0.5374744,,,,,,,,,,,,,,
1,0.5842365,,,,,,,,,,,,,,
1,0.5770918,,,,,,,,,,,,,,
1,0.5459717,,,,,,,,,,,,,,
1,0.4636056,,,,,,,,,,,,,,
0,0.7424452,,,,,,,,,,,,,,
1,0.5729111,,,,,,,,,,,,,,
1,0.613675,,,,,,,,,,,,,,
1,1.4020558,,,,,,,,,,,,,,
1,0.8875922,,,,,,,,,,,,,,
1,0.8799263,,,,,,,,,,,,,,
1,0.6873265,,,,,,,,,,,,,,
1,0.5603074,,,,,,,,,,,,,,
1,0.5110902,,,,,,,,,,,,,,
1,0.7187874,,,,,,,,,,,,,,
1,0.6069062,,,,,,,,,,,,,,
1,0.7101642,,,,,,,,,,,,,,
1,2.8720149,,,,,,,,,,,,,,
1,0.584925,,,,,,,,,,,,,,
1,0.5367126,,,,,,,,,,,,,,
1,0.5672587,,,,,,,,,,,,,,
1,2.0804131,,,,,,,,,,,,,,
1,0.4177297,,,,,,,,,,,,,,
1,0.7602168,,,,,,,,,,,,,,
1,0.7872782,,,,,,,,,,,,,,
1,4.1107199,,,,,,,,,,,,,,
1,0.6740464,,,,,,,,,,,,,,
1,0.6616237,,,,,,,,,,,,,,
1,0.9551379,,,,,,,,,,,,,,
1,0.6767453,,,,,,,,,,,,,,
1,0.5964604,,,,,,,,,,,,,,
1,0.3758172,,,,,,,,,,,,,,
1,0.382745,,,,,,,,,,,,,,
1,0.7121376,,,,,,,,,,,,,,
1,0.3714537,,,,,,,,,,,,,,
1,0.9091839,,,,,,,,,,,,,,
1,0.7161353,,,,,,,,,,,,,,
1,0.7341608,,,,,,,,,,,,,,
1,0.4889425,,,,,,,,,,,,,,
1,0.5402485,,,,,,,,,,,,,,
1,1.2373842,,,,,,,,,,,,,,
1,0.5720512,,,,,,,,,,,,,,
1,0.4976214,,,,,,,,,,,,,,
1,0.6145652,,,,,,,,,,,,,,
1,0.8380417,,,,,,,,,,,,,,
1,0.5239239,,,,,,,,,,,,,,
1,1.131941,,,,,,,,,,,,,,
1,0.6376663,,,,,,,,,,,,,,
1,1.1996788,,,,,,,,,,,,,,
